sp,lat,long
"Mesomys_hispidus",-6.46667,-68.76667
"Mesomys_hispidus",-6.46667,-68.7667
"Mesomys_hispidus",-6.58333,-68.9
"Mesomys_hispidus",-12.6,-69.05
"Mesomys_hispidus",3.31638,-73.9387
"Mesomys_hispidus",-0.25715,-76.43668
"Mesomys_hispidus",-12.6,-69.07289
"Mesomys_hispidus",-4.28333,-74.31667
"Mesomys_hispidus",-4.45167,-78.1733
"Mesomys_hispidus",-0.42,-76.07
"Mesomys_hispidus",-13.169,-70.396
"Mesomys_hispidus",-4,-54.67
"Mesomys_hispidus",-10.133,-71.217
"Mesomys_hispidus",3.53,-65.8
"Mesomys_hispidus",2.43,-65.25
"Mesomys_hispidus",2.55,-65.03
"Mesomys_hispidus",2.45,-65.23
"Mesomys_hispidus",2.5,-65.22
"Mesomys_hispidus",2.62,-66.32
"Mesomys_hispidus",0.084,-76.989
"Mesomys_hispidus",-4.83333,-76.66667
"Mesomys_hispidus",-3.33333,-74.58333
"Mesomys_hispidus",-3.43333,-72.76667
"Mesomys_hispidus",-13.26667,-70.63333
"Mesomys_hispidus",0.13333,-74.68333
"Mesomys_hispidus",0.46667,-75.33333
"Mesomys_hispidus",1,-70
"Mesomys_hispidus",-8.3,-74.6
"Mesomys_hispidus",-2.06667,-76.96667
"Mesomys_hispidus",-5.9,-76.08333
"Mesomys_hispidus",4.56971,-52.44787
"Mesomys_hispidus",4.90833,-52.30835
"Mesomys_hispidus",4.9333,-52.3333
"Mesomys_hispidus",-11.9,-71.3667
"Mesomys_hispidus",3.88898,-51.80119
"Mesomys_hispidus",-11.28517,-41.2851
"Mesomys_hispidus",4.09494,-52.6777
"Mesomys_hispidus",4.91246,-52.36905
"Mesomys_hispidus",4.56651,-52.44947
"Mesomys_hispidus",-2.5,-60
"Mesomys_hispidus",-6.46666667,-68.76666667
"Mesomys_hispidus",-6.83333333,-70.75000000
"Mesomys_hispidus",-10.11,-56.64
"Mesomys_hispidus",-12.85,-59.58
"Mesomys_hispidus",-15.03,-69.35
"Mesomys_occultus",-3.28333333,-66.23333333
"Mesomys_occultus",-4.24167,-63.6408
"Mesomys_stimulax",-3.65,-52.37
"Mesomys_stimulax",-3.67,-52.37
"Mesomys_stimulax",-3.83,-52.67
"Mesomys_stimulax",-7.77055556,-51.96194444
"Mesomys_stimulax",-5.86666667,-49.88333333
"Mesomys_stimulax",-6.55000000,-50.75000000
"Olallamys_albicauda",1.08799,-77.15773
"Olallamys_albicauda",4.56667,-74.08333
"Olallamys_albicauda",6.21,-75.59
"Olallamys_albicauda",6.73,-75.91
"Olallamys_albicauda",7.07,-75.15
"Olallamys_albicauda",7.18,-75.77
"Phyllomys_brasiliensis",-19.6347,-43.8927
"Phyllomys_lamarum",-17.1337981668873,-42.7670665540213
"Phyllomys_lamarum",-11.75,-38.91667
"Phyllomys_nigrispinus",-23.17667,-45.37639
"Phyllomys_nigrispinus",-23.26944,-45.37889
"Phyllomys_nigrispinus",-24,-48.34
"Phyllomys_nigrispinus",-24.36667,-47.81667
"Phyllomys_nigrispinus",-24.25,-47.75
"Phyllomys_nigrispinus",-24.33333,-47.61667
"Phyllomys_pattoni",-19.965,-40.54
"Phyllomys_pattoni",-17.8021489011288,-39.2639772582359
"Phyllomys_pattoni",-17.7254784379557,-39.2600870668761
"Phyllomys_pattoni",-17.725,-39.2597
"Phyllomys_pattoni",-19.39111,-40.07222
"Phyllomys_pattoni",-22.2,-42.73333
"Phyllomys_pattoni",-20.26389,-40.42
"Proechimys_cuvieri",2.97741,-55.38479
"Proechimys_cuvieri",2.52667,-55.77018
"Proechimys_cuvieri",5.10357,-54.51658
"Proechimys_cuvieri",5.12558,-54.55362
"Proechimys_cuvieri",2.28905,-56.60715
"Proechimys_cuvieri",2.289,-56.607
"Proechimys_cuvieri",2.29,-56.61
"Proechimys_cuvieri",2.17526,-56.78783
"Proechimys_cuvieri",2.18,-56.79
"Proechimys_cuvieri",2.17526,-56.788
"Proechimys_cuvieri",2.36256,-56.69832
"Proechimys_cuvieri",3.84751,-56.19023
"Proechimys_cuvieri",3.85,-56.19
"Proechimys_cuvieri",4.25,-58.91
"Proechimys_cuvieri",4.24963,-58.90933
"Proechimys_cuvieri",3.51,-58.23
"Proechimys_cuvieri",4.66,-57.18
"Proechimys_cuvieri",4.81,-56.99
"Proechimys_cuvieri",-0.66,-76.45
"Proechimys_cuvieri",-0.69,-76.43
"Proechimys_cuvieri",4.48,-57.04
"Proechimys_cuvieri",5.13,-59.82
"Proechimys_cuvieri",4.95,-55.18333
"Proechimys_cuvieri",4.93333,-55.18333
"Proechimys_cuvieri",4.93,-55.18
"Proechimys_cuvieri",4.933,-55.183
"Proechimys_cuvieri",4.68,-58.68
"Proechimys_cuvieri",4.95,-55.18
"Proechimys_cuvieri",6.48,-58.58
"Proechimys_cuvieri",3.27,-58.78
"Proechimys_cuvieri",3.268,-58.779
"Proechimys_cuvieri",6.5,-58.22
"Proechimys_cuvieri",7.3706,-60.4911
"Proechimys_cuvieri",4.28,-58.52
"Proechimys_cuvieri",4.38,-58.92
"Proechimys_cuvieri",4.67,-58.68
"Proechimys_cuvieri",4.63,-58.72
"Proechimys_cuvieri",4.75,-59.02
"Proechimys_cuvieri",4.73,-58.85
"Proechimys_cuvieri",-4.33694,-73.19778
"Proechimys_cuvieri",-4.33528,-73.16167
"Proechimys_cuvieri",5.82,-61.07
"Proechimys_cuvieri",4.33,-58.8
"Proechimys_cuvieri",4.33,-58.82
"Proechimys_cuvieri",4.37,-58.85
"Proechimys_cuvieri",4.73,-58.72
"Proechimys_cuvieri",4.53,-59.08
"Proechimys_cuvieri",-1.28,-60.77
"Proechimys_cuvieri",-5.41,-51.35
"Proechimys_cuvieri",-5.86,-68.85
"Proechimys_cuvieri",-7.83,-72.08
"Proechimys_cuvieri",-3.52,-78.27
"Proechimys_cuvieri",-2.27,-50.54
"Proechimys_cuvieri",0.43,-68.58
"Proechimys_guyannensis",2.81245,-59.8666
"Proechimys_guyannensis",2.52667,-55.77018
"Proechimys_guyannensis",5.12558,-54.55362
"Proechimys_guyannensis",2.17526,-56.788
"Proechimys_guyannensis",2.18,-56.79
"Proechimys_guyannensis",2.17526,-56.78783
"Proechimys_guyannensis",2.28905,-56.60715
"Proechimys_guyannensis",2.289,-56.607
"Proechimys_guyannensis",2.29,-56.61
"Proechimys_guyannensis",3.84751,-56.19023
"Proechimys_guyannensis",3.92961,-56.19022
"Proechimys_guyannensis",3.85,-56.19
